0,Vodka,Light Rum,Tequila,Whiskey,Gin,Triple Sec,Peach Schnapps,Coconut Rum,Blue Curacao,Coke,7-Up/Sprite,Sweet & Sour Mix,Orange Juice,Pineapple Juice,Grapefruit Juice,Cranberry Juice,Lime Juice,Grenadine,Ginger Beer,Club Soda,Tonic Water
Whiskey Coke,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Whiskey Sour,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Rum and Coke,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Sex on the Beach,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0
Screwdriver,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cape Cod,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Sea Breeze,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Bay Breeze,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Greyhound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Tequila Sunrise,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.15,0,0,0
Tequila Screwdriver,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Margarita,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Blue Margarita,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0
Peach Margarita,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,0,0,0
Gin and Tonic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tom Collins,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
John Collins,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
Long Island Iced Tea,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Long Beach Iced Tea,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Tennessee Tea,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Texas Tea,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Adios Motherfucker,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Georgia Peach,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0.15,0,0,0
Sexy Lemonade,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.15,0,0,0
California Lemonade,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.15,0,1,0
Kamikaze,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tropical Bay Breeze,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0
Caribbean Pineapple,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Ruby Relaxer,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
Caribbean Cruise,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0.15,0,0,0
Key West Screwdriver,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0
Moscow Mule,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0
Kentucky Mule,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0
Caribbean Mule,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0
Jalisco Mule,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0